Source IP,Destination IP,Source Port,Destination Port,Protocol,Timestamp,SYN Flag Count,ACK Flag Count,Label
172.16.0.5,192.168.50.1,60509,63613,6,2018-12-01 13:30:30.742915,0,1,Syn
172.16.0.5,192.168.50.1,62888,2472,6,2018-12-01 13:30:30.742964,0,1,Syn
172.16.0.5,192.168.50.1,60510,46444,6,2018-12-01 13:30:30.743140,0,1,Syn
172.16.0.5,192.168.50.1,60511,14677,6,2018-12-01 13:30:30.743228,0,1,Syn
172.16.0.5,192.168.50.1,60512,34622,6,2018-12-01 13:30:30.743278,0,1,Syn
172.16.0.5,192.168.50.1,60513,57281,6,2018-12-01 13:30:30.743385,0,1,Syn
172.16.0.5,192.168.50.1,56693,56693,6,2018-12-01 13:30:30.743837,0,1,Syn
172.16.0.5,192.168.50.1,60514,56693,6,2018-12-01 13:30:30.743934,0,1,Syn
172.16.0.5,192.168.50.1,60515,10602,6,2018-12-01 13:30:30.743936,0,1,Syn
172.16.0.5,192.168.50.1,60516,26549,6,2018-12-01 13:30:30.743985,0,1,Syn
172.16.0.5,192.168.50.1,64663,64663,6,2018-12-01 13:30:30.744045,0,1,Syn
172.16.0.5,192.168.50.1,60517,10133,6,2018-12-01 13:30:30.744144,0,1,Syn
172.16.0.5,192.168.50.1,60518,9355,6,2018-12-01 13:30:30.744146,0,1,Syn
172.16.0.5,192.168.50.1,60519,55983,6,2018-12-01 13:30:30.744243,0,1,Syn
172.16.0.5,192.168.50.1,60520,5755,6,2018-12-01 13:30:30.744770,0,1,Syn
172.16.0.5,192.168.50.1,60521,39187,6,2018-12-01 13:30:30.744771,0,1,Syn
172.16.0.5,192.168.50.1,51020,51020,6,2018-12-01 13:30:30.744822,0,1,Syn
172.16.0.5,192.168.50.1,30675,30675,6,2018-12-01 13:30:30.745298,0,1,Syn
172.16.0.5,192.168.50.1,42227,42227,6,2018-12-01 13:30:30.745300,0,1,Syn
172.16.0.5,192.168.50.1,45734,45734,6,2018-12-01 13:30:30.745432,0,1,Syn
172.16.0.5,192.168.50.1,58488,58488,6,2018-12-01 13:30:30.745434,0,1,Syn
172.16.0.5,192.168.50.1,60522,46699,6,2018-12-01 13:30:30.745537,0,1,Syn
172.16.0.5,192.168.50.1,25303,25303,6,2018-12-01 13:30:30.745683,0,1,Syn
172.16.0.5,192.168.50.1,60523,45503,6,2018-12-01 13:30:30.745684,0,1,Syn
172.16.0.5,192.168.50.1,60524,28410,6,2018-12-01 13:30:30.745736,0,1,Syn
172.16.0.5,192.168.50.1,60525,13004,6,2018-12-01 13:30:30.745797,0,1,Syn
172.16.0.5,192.168.50.1,60526,19422,6,2018-12-01 13:30:30.745798,0,1,Syn
172.16.0.5,192.168.50.1,13403,13403,6,2018-12-01 13:30:30.745846,0,1,Syn
172.16.0.5,192.168.50.1,60527,28410,6,2018-12-01 13:30:30.745898,0,1,Syn
172.16.0.5,192.168.50.1,60528,14192,6,2018-12-01 13:30:30.745900,0,1,Syn
172.16.0.5,192.168.50.1,60529,19422,6,2018-12-01 13:30:30.745945,0,1,Syn
172.16.0.5,192.168.50.1,60530,45231,6,2018-12-01 13:30:30.745994,0,1,Syn
172.16.0.5,192.168.50.1,60531,45834,6,2018-12-01 13:30:30.746055,0,1,Syn
172.16.0.5,192.168.50.1,36908,36908,6,2018-12-01 13:30:30.746123,0,1,Syn
172.16.0.5,192.168.50.1,60532,55097,6,2018-12-01 13:30:30.746364,0,1,Syn
172.16.0.5,192.168.50.1,49433,49433,6,2018-12-01 13:30:30.746366,0,1,Syn
172.16.0.5,192.168.50.1,60533,7257,6,2018-12-01 13:30:30.746538,0,1,Syn
172.16.0.5,192.168.50.1,60534,46964,6,2018-12-01 13:30:30.746721,0,1,Syn
172.16.0.5,192.168.50.1,23447,23447,6,2018-12-01 13:30:30.746929,0,1,Syn
172.16.0.5,192.168.50.1,30650,30650,6,2018-12-01 13:30:30.747097,0,1,Syn
172.16.0.5,192.168.50.1,773,937,6,2018-12-01 13:30:30.747099,0,1,Syn
172.16.0.5,192.168.50.1,26530,26530,6,2018-12-01 13:30:30.747198,0,1,Syn
172.16.0.5,192.168.50.1,60535,1184,6,2018-12-01 13:30:30.747305,0,1,Syn
172.16.0.5,192.168.50.1,60536,45100,6,2018-12-01 13:30:30.747376,0,1,Syn
172.16.0.5,192.168.50.1,37230,37230,6,2018-12-01 13:30:30.747672,0,1,Syn
172.16.0.5,192.168.50.1,14508,14508,6,2018-12-01 13:30:30.747889,0,1,Syn
172.16.0.5,192.168.50.1,19882,19882,6,2018-12-01 13:30:30.747890,0,1,Syn
172.16.0.5,192.168.50.1,60537,14508,6,2018-12-01 13:30:30.747939,0,1,Syn
172.16.0.5,192.168.50.1,60538,9469,6,2018-12-01 13:30:30.747997,0,1,Syn
172.16.0.5,192.168.50.1,50899,50899,6,2018-12-01 13:30:30.747998,0,1,Syn
172.16.0.5,192.168.50.1,60539,14508,6,2018-12-01 13:30:30.748049,0,1,Syn
172.16.0.5,192.168.50.1,61137,61137,6,2018-12-01 13:30:30.748105,0,1,Syn
172.16.0.5,192.168.50.1,60540,23536,6,2018-12-01 13:30:30.748106,0,1,Syn
172.16.0.5,192.168.50.1,60541,23536,6,2018-12-01 13:30:30.748155,0,1,Syn
172.16.0.5,192.168.50.1,60542,39282,6,2018-12-01 13:30:30.748248,0,1,Syn
172.16.0.5,192.168.50.1,60543,54989,6,2018-12-01 13:30:30.748249,0,1,Syn
172.16.0.5,192.168.50.1,64735,4319,6,2018-12-01 13:30:30.748298,0,1,Syn
172.16.0.5,192.168.50.1,63123,2707,6,2018-12-01 13:30:30.748786,0,1,Syn
172.16.0.5,192.168.50.1,40629,40629,6,2018-12-01 13:30:30.748845,0,1,Syn
172.16.0.5,192.168.50.1,42858,42858,6,2018-12-01 13:30:30.749012,0,1,Syn
172.16.0.5,192.168.50.1,58782,58782,6,2018-12-01 13:30:30.749092,0,1,Syn
172.16.0.5,192.168.50.1,60544,8361,6,2018-12-01 13:30:30.749094,0,1,Syn
172.16.0.5,192.168.50.1,47633,47633,6,2018-12-01 13:30:30.749143,0,1,Syn
172.16.0.5,192.168.50.1,37178,15855,6,2018-12-01 13:30:30.749238,0,1,Syn
172.16.0.5,192.168.50.1,49506,58228,6,2018-12-01 13:30:30.749332,0,1,Syn
172.16.0.5,192.168.50.1,60545,38341,6,2018-12-01 13:30:30.749758,0,1,Syn
172.16.0.5,192.168.50.1,60546,38341,6,2018-12-01 13:30:30.749760,0,1,Syn
172.16.0.5,192.168.50.1,60547,17801,6,2018-12-01 13:30:30.749809,0,1,Syn
172.16.0.5,192.168.50.1,60548,6443,6,2018-12-01 13:30:30.750065,0,1,Syn
172.16.0.5,192.168.50.1,63617,63617,6,2018-12-01 13:30:30.750557,0,1,Syn
172.16.0.5,192.168.50.1,47169,47169,6,2018-12-01 13:30:30.750777,0,1,Syn
172.16.0.5,192.168.50.1,64318,3902,6,2018-12-01 13:30:30.750908,0,1,Syn
172.16.0.5,192.168.50.1,57430,57430,6,2018-12-01 13:30:30.750910,0,1,Syn
172.16.0.5,192.168.50.1,0,0,0,2018-12-01 13:30:30.750958,0,0,Syn
172.16.0.5,192.168.50.1,55122,55122,6,2018-12-01 13:30:30.750960,0,1,Syn
172.16.0.5,192.168.50.1,60549,33729,6,2018-12-01 13:30:30.751012,0,1,Syn
172.16.0.5,192.168.50.1,22151,22151,6,2018-12-01 13:30:30.751066,0,1,Syn
172.16.0.5,192.168.50.1,60550,33729,6,2018-12-01 13:30:30.751067,0,1,Syn
172.16.0.5,192.168.50.1,60551,9709,6,2018-12-01 13:30:30.751113,0,1,Syn
172.16.0.5,192.168.50.1,60552,9255,6,2018-12-01 13:30:30.751363,0,1,Syn
172.16.0.5,192.168.50.1,27164,27164,6,2018-12-01 13:30:30.751365,0,1,Syn
172.16.0.5,192.168.50.1,50064,50064,6,2018-12-01 13:30:30.751413,0,1,Syn
172.16.0.5,192.168.50.1,60553,36086,6,2018-12-01 13:30:30.751473,0,1,Syn
172.16.0.5,192.168.50.1,60554,50483,6,2018-12-01 13:30:30.751475,0,1,Syn
172.16.0.5,192.168.50.1,6543,6543,6,2018-12-01 13:30:30.751524,0,1,Syn
172.16.0.5,192.168.50.1,60555,1596,6,2018-12-01 13:30:30.751626,0,1,Syn
172.16.0.5,192.168.50.1,13102,13102,6,2018-12-01 13:30:30.751627,0,1,Syn
172.16.0.5,192.168.50.1,7713,7713,6,2018-12-01 13:30:30.751786,0,1,Syn
172.16.0.5,192.168.50.1,60556,61416,6,2018-12-01 13:30:30.751788,0,1,Syn
172.16.0.5,192.168.50.1,13018,13018,6,2018-12-01 13:30:30.751837,0,1,Syn
172.16.0.5,192.168.50.1,50579,42616,6,2018-12-01 13:30:30.751936,0,1,Syn
172.16.0.5,192.168.50.1,60557,48424,6,2018-12-01 13:30:30.751988,0,1,Syn
172.16.0.5,192.168.50.1,60558,30427,6,2018-12-01 13:30:30.752126,0,1,Syn
172.16.0.5,192.168.50.1,60559,39004,6,2018-12-01 13:30:30.752176,0,1,Syn
172.16.0.5,192.168.50.1,60560,35146,6,2018-12-01 13:30:30.752876,0,1,Syn
172.16.0.5,192.168.50.1,39225,39225,6,2018-12-01 13:30:30.752927,0,1,Syn
172.16.0.5,192.168.50.1,63911,3495,6,2018-12-01 13:30:30.753204,0,1,Syn
172.16.0.5,192.168.50.1,65341,4925,6,2018-12-01 13:30:30.753206,0,1,Syn
172.16.0.5,192.168.50.1,60561,59142,6,2018-12-01 13:30:30.753256,0,1,Syn
172.16.0.5,192.168.50.1,60562,37167,6,2018-12-01 13:30:30.753312,0,1,Syn
172.16.0.5,192.168.50.1,60563,44973,6,2018-12-01 13:30:30.753313,0,1,Syn
172.16.0.5,192.168.50.1,59125,59125,6,2018-12-01 13:30:30.753362,0,1,Syn
172.16.0.5,192.168.50.1,8379,8379,6,2018-12-01 13:30:30.753421,0,1,Syn
172.16.0.5,192.168.50.1,48408,48408,6,2018-12-01 13:30:30.753422,0,1,Syn
172.16.0.5,192.168.50.1,60564,17828,6,2018-12-01 13:30:30.753471,0,1,Syn
172.16.0.5,192.168.50.1,60565,37384,6,2018-12-01 13:30:30.753524,0,1,Syn
172.16.0.5,192.168.50.1,60566,10074,6,2018-12-01 13:30:30.753576,0,1,Syn
172.16.0.5,192.168.50.1,24410,24410,6,2018-12-01 13:30:30.753840,0,1,Syn
172.16.0.5,192.168.50.1,51292,51292,6,2018-12-01 13:30:30.754277,0,1,Syn
172.16.0.5,192.168.50.1,62931,2515,6,2018-12-01 13:30:30.754646,0,1,Syn
172.16.0.5,192.168.50.1,60567,17635,6,2018-12-01 13:30:30.754833,0,1,Syn
172.16.0.5,192.168.50.1,60568,25858,6,2018-12-01 13:30:30.754882,0,1,Syn
172.16.0.5,192.168.50.1,60569,54088,6,2018-12-01 13:30:30.754883,0,1,Syn
172.16.0.5,192.168.50.1,24944,24944,6,2018-12-01 13:30:30.754954,0,1,Syn
172.16.0.5,192.168.50.1,60570,24944,6,2018-12-01 13:30:30.754955,0,1,Syn
172.16.0.5,192.168.50.1,60571,24944,6,2018-12-01 13:30:30.755004,0,1,Syn
172.16.0.5,192.168.50.1,60572,25252,6,2018-12-01 13:30:30.755060,0,1,Syn
172.16.0.5,192.168.50.1,60573,56188,6,2018-12-01 13:30:30.755061,0,1,Syn
172.16.0.5,192.168.50.1,60574,12520,6,2018-12-01 13:30:30.755202,0,1,Syn
172.16.0.5,192.168.50.1,60575,51827,6,2018-12-01 13:30:30.755344,0,1,Syn
172.16.0.5,192.168.50.1,60576,47199,6,2018-12-01 13:30:30.755655,0,1,Syn
172.16.0.5,192.168.50.1,56819,56819,6,2018-12-01 13:30:30.755657,0,1,Syn
172.16.0.5,192.168.50.1,60577,62676,6,2018-12-01 13:30:30.755706,0,1,Syn
172.16.0.5,192.168.50.1,65469,5053,6,2018-12-01 13:30:30.756073,0,1,Syn
172.16.0.5,192.168.50.1,60578,5053,6,2018-12-01 13:30:30.756154,0,1,Syn
172.16.0.5,192.168.50.1,60579,51124,6,2018-12-01 13:30:30.756156,0,1,Syn
172.16.0.5,192.168.50.1,60580,54006,6,2018-12-01 13:30:30.756218,0,1,Syn
172.16.0.5,192.168.50.1,61416,3527,6,2018-12-01 13:30:30.756220,0,1,Syn
172.16.0.5,192.168.50.1,60581,28509,6,2018-12-01 13:30:30.756269,0,1,Syn
172.16.0.5,192.168.50.1,60582,25790,6,2018-12-01 13:30:30.756506,0,1,Syn
172.16.0.5,192.168.50.1,60583,35403,6,2018-12-01 13:30:30.756508,0,1,Syn
172.16.0.5,192.168.50.1,41440,41440,6,2018-12-01 13:30:30.757097,0,1,Syn
172.16.0.5,192.168.50.1,63330,63330,6,2018-12-01 13:30:30.757099,0,1,Syn
172.16.0.5,192.168.50.1,973,973,6,2018-12-01 13:30:30.757215,0,1,Syn
172.16.0.5,192.168.50.1,18208,18208,6,2018-12-01 13:30:30.757217,0,1,Syn
172.16.0.5,192.168.50.1,60584,10449,6,2018-12-01 13:30:30.757269,0,1,Syn
172.16.0.5,192.168.50.1,60585,64352,6,2018-12-01 13:30:30.757319,0,1,Syn
172.16.0.5,192.168.50.1,60586,58819,6,2018-12-01 13:30:30.757366,0,1,Syn
172.16.0.5,192.168.50.1,60587,40909,6,2018-12-01 13:30:30.757368,0,1,Syn
172.16.0.5,192.168.50.1,60588,33335,6,2018-12-01 13:30:30.757417,0,1,Syn
172.16.0.5,192.168.50.1,60589,14402,6,2018-12-01 13:30:30.757470,0,1,Syn
172.16.0.5,192.168.50.1,60590,33335,6,2018-12-01 13:30:30.757522,0,1,Syn
172.16.0.5,192.168.50.1,60591,35808,6,2018-12-01 13:30:30.757573,0,1,Syn
172.16.0.5,192.168.50.1,60592,14402,6,2018-12-01 13:30:30.757574,0,1,Syn
172.16.0.5,192.168.50.1,60593,39363,6,2018-12-01 13:30:30.757651,0,1,Syn
172.16.0.5,192.168.50.1,60594,38559,6,2018-12-01 13:30:30.757653,0,1,Syn
172.16.0.5,192.168.50.1,60595,44012,6,2018-12-01 13:30:30.757703,0,1,Syn
172.16.0.5,192.168.50.1,16336,16336,6,2018-12-01 13:30:30.757767,0,1,Syn
172.16.0.5,192.168.50.1,60596,16336,6,2018-12-01 13:30:30.757769,0,1,Syn
172.16.0.5,192.168.50.1,16456,16456,6,2018-12-01 13:30:30.757814,0,1,Syn
172.16.0.5,192.168.50.1,36728,36728,6,2018-12-01 13:30:30.757876,0,1,Syn
172.16.0.5,192.168.50.1,16456,36728,6,2018-12-01 13:30:30.757878,0,1,Syn
172.16.0.5,192.168.50.1,8493,8493,6,2018-12-01 13:30:30.758575,0,1,Syn
172.16.0.5,192.168.50.1,60597,36844,6,2018-12-01 13:30:30.758777,0,1,Syn
172.16.0.5,192.168.50.1,60598,17462,6,2018-12-01 13:30:30.758846,0,1,Syn
172.16.0.5,192.168.50.1,31950,31950,6,2018-12-01 13:30:30.758848,0,1,Syn
172.16.0.5,192.168.50.1,59875,59875,6,2018-12-01 13:30:30.758888,0,1,Syn
172.16.0.5,192.168.50.1,11412,11412,6,2018-12-01 13:30:30.758890,0,1,Syn
172.16.0.5,192.168.50.1,18389,18389,6,2018-12-01 13:30:30.758966,0,1,Syn
172.16.0.5,192.168.50.1,60599,59875,6,2018-12-01 13:30:30.758968,0,1,Syn
172.16.0.5,192.168.50.1,13460,13460,6,2018-12-01 13:30:30.759035,0,1,Syn
172.16.0.5,192.168.50.1,60600,50981,6,2018-12-01 13:30:30.759153,0,1,Syn
172.16.0.5,192.168.50.1,774,453,6,2018-12-01 13:30:30.759639,0,1,Syn
172.16.0.5,192.168.50.1,60601,48337,6,2018-12-01 13:30:30.759641,0,1,Syn
172.16.0.5,192.168.50.1,60602,63389,6,2018-12-01 13:30:30.759690,0,1,Syn
172.16.0.5,192.168.50.1,60603,14671,6,2018-12-01 13:30:30.759745,0,1,Syn
172.16.0.5,192.168.50.1,20918,20918,6,2018-12-01 13:30:30.760020,0,1,Syn
172.16.0.5,192.168.50.1,60604,30586,6,2018-12-01 13:30:30.760407,0,1,Syn
172.16.0.5,192.168.50.1,60605,17335,6,2018-12-01 13:30:30.760759,0,1,Syn
172.16.0.5,192.168.50.1,55165,55165,6,2018-12-01 13:30:30.760821,0,1,Syn
172.16.0.5,192.168.50.1,60606,14154,6,2018-12-01 13:30:30.761093,0,1,Syn
172.16.0.5,192.168.50.1,12488,12488,6,2018-12-01 13:30:30.761094,0,1,Syn
172.16.0.5,192.168.50.1,60607,6906,6,2018-12-01 13:30:30.761143,0,1,Syn
172.16.0.5,192.168.50.1,60608,8393,6,2018-12-01 13:30:30.761196,0,1,Syn
172.16.0.5,192.168.50.1,60609,8393,6,2018-12-01 13:30:30.761243,0,1,Syn
172.16.0.5,192.168.50.1,60610,14680,6,2018-12-01 13:30:30.761306,0,1,Syn
172.16.0.5,192.168.50.1,60611,14717,6,2018-12-01 13:30:30.761308,0,1,Syn
172.16.0.5,192.168.50.1,6303,6303,6,2018-12-01 13:30:30.761360,0,1,Syn
172.16.0.5,192.168.50.1,50016,50016,6,2018-12-01 13:30:30.761509,0,1,Syn
172.16.0.5,192.168.50.1,60612,24836,6,2018-12-01 13:30:30.761755,0,1,Syn
172.16.0.5,192.168.50.1,60613,62705,6,2018-12-01 13:30:30.761890,0,1,Syn
172.16.0.5,192.168.50.1,60614,52494,6,2018-12-01 13:30:30.761891,0,1,Syn
172.16.0.5,192.168.50.1,60615,23460,6,2018-12-01 13:30:30.762147,0,1,Syn
172.16.0.5,192.168.50.1,60616,11234,6,2018-12-01 13:30:30.762207,0,1,Syn
172.16.0.5,192.168.50.1,60617,36935,6,2018-12-01 13:30:30.762209,0,1,Syn
172.16.0.5,192.168.50.1,64008,64008,6,2018-12-01 13:30:30.762465,0,1,Syn
172.16.0.5,192.168.50.1,60618,16145,6,2018-12-01 13:30:30.762672,0,1,Syn
172.16.0.5,192.168.50.1,60619,26802,6,2018-12-01 13:30:30.762674,0,1,Syn
172.16.0.5,192.168.50.1,60620,30092,6,2018-12-01 13:30:30.762724,0,1,Syn
172.16.0.5,192.168.50.1,60621,63372,6,2018-12-01 13:30:30.762776,0,1,Syn
172.16.0.5,192.168.50.1,24587,24587,6,2018-12-01 13:30:30.762949,0,1,Syn
172.16.0.5,192.168.50.1,60622,25409,6,2018-12-01 13:30:30.762951,0,1,Syn
172.16.0.5,192.168.50.1,60623,13946,6,2018-12-01 13:30:30.763074,0,1,Syn
172.16.0.5,192.168.50.1,60624,15565,6,2018-12-01 13:30:30.763075,0,1,Syn
172.16.0.5,192.168.50.1,60625,37651,6,2018-12-01 13:30:30.763326,0,1,Syn
172.16.0.5,192.168.50.1,60626,23193,6,2018-12-01 13:30:30.763328,0,1,Syn
172.16.0.5,192.168.50.1,60627,37651,6,2018-12-01 13:30:30.763376,0,1,Syn
172.16.0.5,192.168.50.1,47880,47880,6,2018-12-01 13:30:30.763434,0,1,Syn
172.16.0.5,192.168.50.1,40842,40842,6,2018-12-01 13:30:30.763436,0,1,Syn
172.16.0.5,192.168.50.1,60628,47727,6,2018-12-01 13:30:30.763488,0,1,Syn
172.16.0.5,192.168.50.1,60629,23193,6,2018-12-01 13:30:30.763539,0,1,Syn
172.16.0.5,192.168.50.1,41145,10797,6,2018-12-01 13:30:30.763540,0,1,Syn
172.16.0.5,192.168.50.1,7243,7243,6,2018-12-01 13:30:30.763590,0,1,Syn
172.16.0.5,192.168.50.1,23135,23135,6,2018-12-01 13:30:30.763592,0,1,Syn
172.16.0.5,192.168.50.1,60630,64628,6,2018-12-01 13:30:30.763644,0,1,Syn
172.16.0.5,192.168.50.1,54684,54684,6,2018-12-01 13:30:30.763692,0,1,Syn
172.16.0.5,192.168.50.1,60631,32951,6,2018-12-01 13:30:30.763694,0,1,Syn
172.16.0.5,192.168.50.1,60632,64628,6,2018-12-01 13:30:30.763743,0,1,Syn
172.16.0.5,192.168.50.1,60633,43893,6,2018-12-01 13:30:30.763802,0,1,Syn
172.16.0.5,192.168.50.1,60634,37929,6,2018-12-01 13:30:30.763993,0,1,Syn
172.16.0.5,192.168.50.1,60635,55174,6,2018-12-01 13:30:30.764331,0,1,Syn
172.16.0.5,192.168.50.1,60636,24483,6,2018-12-01 13:30:30.764412,0,1,Syn
172.16.0.5,192.168.50.1,60637,12916,6,2018-12-01 13:30:30.764753,0,1,Syn
172.16.0.5,192.168.50.1,7512,7512,6,2018-12-01 13:30:30.764931,0,1,Syn
172.16.0.5,192.168.50.1,60638,7512,6,2018-12-01 13:30:30.764933,0,1,Syn
172.16.0.5,192.168.50.1,60639,7512,6,2018-12-01 13:30:30.764985,0,1,Syn
172.16.0.5,192.168.50.1,60640,7512,6,2018-12-01 13:30:30.765038,0,1,Syn
172.16.0.5,192.168.50.1,60641,22464,6,2018-12-01 13:30:30.765039,0,1,Syn
172.16.0.5,192.168.50.1,60642,7512,6,2018-12-01 13:30:30.765089,0,1,Syn
172.16.0.5,192.168.50.1,28786,28786,6,2018-12-01 13:30:30.765149,0,1,Syn
172.16.0.5,192.168.50.1,60643,28786,6,2018-12-01 13:30:30.765150,0,1,Syn
172.16.0.5,192.168.50.1,60644,7512,6,2018-12-01 13:30:30.765201,0,1,Syn
172.16.0.5,192.168.50.1,60645,11969,6,2018-12-01 13:30:30.765316,0,1,Syn
172.16.0.5,192.168.50.1,41414,41414,6,2018-12-01 13:30:30.765319,0,1,Syn
172.16.0.5,192.168.50.1,57779,57779,6,2018-12-01 13:30:30.765366,0,1,Syn
172.16.0.5,192.168.50.1,42909,42909,6,2018-12-01 13:30:30.765600,0,1,Syn
172.16.0.5,192.168.50.1,60646,42733,6,2018-12-01 13:30:30.765691,0,1,Syn
172.16.0.5,192.168.50.1,5250,5250,6,2018-12-01 13:30:30.765745,0,1,Syn
172.16.0.5,192.168.50.1,53862,53862,6,2018-12-01 13:30:30.765795,0,1,Syn
172.16.0.5,192.168.50.1,30640,53862,6,2018-12-01 13:30:30.765797,0,1,Syn
172.16.0.5,192.168.50.1,54711,54711,6,2018-12-01 13:30:30.766910,0,1,Syn
172.16.0.5,192.168.50.1,27339,27339,6,2018-12-01 13:30:30.766912,0,1,Syn
172.16.0.5,192.168.50.1,60647,56719,6,2018-12-01 13:30:30.767066,0,1,Syn
172.16.0.5,192.168.50.1,60648,43842,6,2018-12-01 13:30:30.767068,0,1,Syn
172.16.0.5,192.168.50.1,47804,47804,6,2018-12-01 13:30:30.767116,0,1,Syn
172.16.0.5,192.168.50.1,60649,59117,6,2018-12-01 13:30:30.767172,0,1,Syn
172.16.0.5,192.168.50.1,30000,30000,6,2018-12-01 13:30:30.767274,0,1,Syn
172.16.0.5,192.168.50.1,10384,10384,6,2018-12-01 13:30:30.767572,0,1,Syn
172.16.0.5,192.168.50.1,60650,63673,6,2018-12-01 13:30:30.767773,0,1,Syn
172.16.0.5,192.168.50.1,24345,12652,6,2018-12-01 13:30:30.767775,0,1,Syn
172.16.0.5,192.168.50.1,60651,35291,6,2018-12-01 13:30:30.767824,0,1,Syn
172.16.0.5,192.168.50.1,60652,36703,6,2018-12-01 13:30:30.767826,0,1,Syn
172.16.0.5,192.168.50.1,60653,29612,6,2018-12-01 13:30:30.767874,0,1,Syn
172.16.0.5,192.168.50.1,60654,53324,6,2018-12-01 13:30:30.767933,0,1,Syn
172.16.0.5,192.168.50.1,60655,60840,6,2018-12-01 13:30:30.767935,0,1,Syn
172.16.0.5,192.168.50.1,18946,18946,6,2018-12-01 13:30:30.767985,0,1,Syn
172.16.0.5,192.168.50.1,60656,60572,6,2018-12-01 13:30:30.768042,0,1,Syn
172.16.0.5,192.168.50.1,21772,21772,6,2018-12-01 13:30:30.768044,0,1,Syn
172.16.0.5,192.168.50.1,60657,49922,6,2018-12-01 13:30:30.768095,0,1,Syn
172.16.0.5,192.168.50.1,60658,61417,6,2018-12-01 13:30:30.768148,0,1,Syn
172.16.0.5,192.168.50.1,13902,13902,6,2018-12-01 13:30:30.768150,0,1,Syn
172.16.0.5,192.168.50.1,37504,37504,6,2018-12-01 13:30:30.768198,0,1,Syn
172.16.0.5,192.168.50.1,64098,64098,6,2018-12-01 13:30:30.768246,0,1,Syn
172.16.0.5,192.168.50.1,60659,60098,6,2018-12-01 13:30:30.768306,0,1,Syn
172.16.0.5,192.168.50.1,60660,21809,6,2018-12-01 13:30:30.768357,0,1,Syn
172.16.0.5,192.168.50.1,60661,25248,6,2018-12-01 13:30:30.768359,0,1,Syn
172.16.0.5,192.168.50.1,60662,11532,6,2018-12-01 13:30:30.768422,0,1,Syn
172.16.0.5,192.168.50.1,60663,23489,6,2018-12-01 13:30:30.768573,0,1,Syn
172.16.0.5,192.168.50.1,54480,54480,6,2018-12-01 13:30:30.768822,0,1,Syn
172.16.0.5,192.168.50.1,60664,29884,6,2018-12-01 13:30:30.768895,0,1,Syn
172.16.0.5,192.168.50.1,60665,19365,6,2018-12-01 13:30:30.769274,0,1,Syn
172.16.0.5,192.168.50.1,60666,19958,6,2018-12-01 13:30:30.769276,0,1,Syn
172.16.0.5,192.168.50.1,20448,20448,6,2018-12-01 13:30:30.769325,0,1,Syn
172.16.0.5,192.168.50.1,25904,25904,6,2018-12-01 13:30:30.769384,0,1,Syn
172.16.0.5,192.168.50.1,60667,20448,6,2018-12-01 13:30:30.769388,0,1,Syn
172.16.0.5,192.168.50.1,60668,12478,6,2018-12-01 13:30:30.769437,0,1,Syn
